#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
152116.99986821547,-320616.62317040097,58270.33094872549,-262346.2922216755,300.38617857452573,236.3390259393173,0.9922518387572836,317
152117.9998682193,-321289.96482976805,57851.12593738067,-263438.8388923874,298.22515787416336,234.9317769080978,0.998195459740337,317
152118.99986822315,-320714.97648806544,57951.92023789638,-262763.05625016906,298.7447570297036,237.19884308274231,0.988655045744002,317
152119.999868227,-321312.62496657996,58676.39312926121,-262636.23183731874,302.4794473905566,237.2387698172652,0.988488657393664,317
152120.99986823084,-320725.9222216632,58734.965263978345,-261990.95695768483,302.78138938114034,237.76045364788246,0.9863197578083925,317
152121.99986823468,-320732.95574431424,58222.013094888534,-262510.9426494257,300.1370978633869,236.8944862652171,0.9899252479681939,317
152122.99986823852,-320929.60240115924,58121.36119824834,-262808.2412029109,299.618232806234,236.9346309132335,0.9897575215345821,317
152123.99986824236,-320744.47398994886,58478.747203655104,-262265.7267862938,301.460573748739,236.64983638152242,0.9909486380557807,317
152124.9998682462,-321440.8003970913,58885.39435383718,-262555.40604325413,303.55685810962416,235.00344504999185,0.9978910437185573,317
152125.99986825004,-321216.3522309398,57966.69917445985,-263249.65305647993,298.82094311283396,235.88430837426228,0.9941646168608836,317
152126.9998682539,-321144.272942113,57721.99874142883,-263422.27420068416,297.55950136749027,237.16863148331444,0.9887809850388724,317
152127.99986825773,-320943.8457190157,58468.55701618339,-262475.2887028323,301.4080428736994,236.86988425968514,0.9900280645271791,317
152128.99986826157,-320041.49905128754,58318.15520787262,-261723.3438434149,300.63271478282365,238.23472564977175,0.984356215991544,317
152129.9998682654,-320761.1200971857,58283.717515403085,-262477.40258178266,300.45518692822895,236.16473696324275,0.9929841180941944,317
152130.99986826925,-321145.7718483058,57814.45938692859,-263331.31246137724,298.036140156356,235.74590157786196,0.9947482924997529,317
152131.9998682731,-321592.4587583747,57666.59346597316,-263925.8652924015,297.273884678928,235.95290377471255,0.9938755968110511,317
152132.99986827694,-321191.18469298864,58127.89411534637,-263063.29057764227,299.651910287897,235.71755727191317,0.994867907899942,317
152133.99986828078,-320762.52298112307,58290.570912366136,-262471.9520687569,300.49051649801976,235.5717548864102,0.9954836613220874,317
152134.99986828462,-321188.70202632784,58307.85638518527,-262880.8456411426,300.5796238883581,235.62755683022561,0.9952479082374925,317
152135.99986828846,-321066.7009770279,58696.763946423656,-262369.9370306042,302.58445986984475,235.692971274728,0.9949716862156504,317
152136.9998682923,-321191.46967473626,58795.00425028743,-262396.46542444883,303.0908930576982,236.76027969926838,0.9904863829197345,317
152137.99986829614,-321254.5375205332,58001.342339835945,-263253.19518069725,298.9995301895095,236.266555426563,0.9925561941469252,317
152138.9998683,-320985.96310589486,58461.68197355277,-262524.28113234206,301.37260171951806,234.97530248618918,0.9980105593104888,317
152139.99986830383,-320652.71694498113,58511.3371665451,-262141.37977843604,301.6285764741916,236.03869938197965,0.9935143418109194,317
152140.99986830767,-319809.87432614574,57938.210853123805,-261871.66347302194,298.6740845341919,237.28296343112282,0.9883045527896258,317
152141.9998683115,-319641.9296697327,58282.909802701615,-261359.01986703108,300.45102313290073,236.81120959102049,0.9902733635937019,317
152142.99986831535,-321145.6196001861,58458.60593485343,-262687.0136653327,301.35674460158174,235.90306804377883,0.9940855581194606,317
152143.9998683192,-320627.5873136623,57792.37423241825,-262835.21308124403,297.9222901908834,235.95228379084247,0.9938782083002429,317
152144.99986832304,-321433.2241915597,58145.53969690378,-263287.6844946559,299.74287405498836,236.23392087982248,0.9926933108716949,317
152145.99986832688,-320514.5430531183,58396.54523960159,-262117.9978135167,301.0368189244343,236.70351469221245,0.9907239162178282,317
